,DatabaseWorkedWith,Elasticsearch,Microsoft SQL Server,Oracle,MySQL,PostgreSQL,Redis,SQLite,MariaDB,Firebase,MongoDB,IBM DB2,DynamoDB,Cassandra,Couchbase
20312,Elasticsearch;Microsoft SQL Server,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20313,Firebase;SQLite,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20314,Firebase;SQLite,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20315,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20316,DynamoDB;Elasticsearch;Firebase;Microsoft SQL Server;PostgreSQL;Redis,1,1,0,0,1,1,0,0,1,0,0,1,0,0
20317,Cassandra;PostgreSQL;Redis,0,0,0,0,1,1,0,0,0,0,0,0,1,0
20318,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20320,Firebase;MongoDB,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20321,DynamoDB;Elasticsearch;MariaDB;MySQL;Redis,1,0,0,1,0,1,0,1,0,0,0,1,0,0
20322,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20323,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20324,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20325,MongoDB;MySQL;Oracle,0,0,1,1,0,0,0,0,0,1,0,0,0,0
20326,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20327,Microsoft SQL Server;MySQL;PostgreSQL,0,1,0,1,1,0,0,0,0,0,0,0,0,0
20328,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20329,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20330,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20331,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20332,Oracle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20333,PostgreSQL;Redis,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20334,Elasticsearch;IBM DB2;MariaDB;Microsoft SQL Server;MySQL,1,1,0,1,0,0,0,1,0,0,1,0,0,0
20335,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20336,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20337,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20338,Firebase,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20339,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20340,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20341,MariaDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,1,0,0,0,0,0,0
20342,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20343,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20344,MariaDB;MongoDB;PostgreSQL;Redis,0,0,0,0,1,1,0,1,0,1,0,0,0,0
20345,MariaDB;MySQL,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20346,Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,0,0,0,0,0,0
20347,Oracle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20348,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20349,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20350,IBM DB2;MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,1,0,0,0
20351,MySQL;PostgreSQL;Redis,0,0,0,1,1,1,0,0,0,0,0,0,0,0
20352,Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,0,0,0,0,0,0
20353,MongoDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,1,0,0,0,0
20354,DynamoDB;Elasticsearch;Firebase;MongoDB;PostgreSQL,1,0,0,0,1,0,0,0,1,1,0,1,0,0
20355,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20356,DynamoDB;Elasticsearch;Firebase;IBM DB2;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,1,1,0,1,1,0,1,0,1,0,1,1,0,0
20357,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20358,Cassandra;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,1,0,0,0,1,1,1,0,0,1,0,0,1,0
20359,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20360,MySQL;PostgreSQL;Redis;SQLite,0,0,0,1,1,1,1,0,0,0,0,0,0,0
20361,Elasticsearch;Oracle;PostgreSQL;SQLite,1,0,1,0,1,0,1,0,0,0,0,0,0,0
20362,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20363,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20364,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,1,1,0,0,1,1,0,0,0,1,0,0,0,0
20365,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20366,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,0,1,0,1,1,1,0,0,0,1,0,0,0,0
20367,MariaDB;MongoDB;MySQL,0,0,0,1,0,0,0,1,0,1,0,0,0,0
20368,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,1,1,0,1,1,1,1,0,0,1,0,0,0,0
20369,Elasticsearch;PostgreSQL;Redis,1,0,0,0,1,1,0,0,0,0,0,0,0,0
20370,Firebase,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20371,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20372,Firebase;MySQL;Oracle;SQLite,0,0,1,1,0,0,1,0,1,0,0,0,0,0
20373,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20374,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20375,DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis,1,0,0,0,1,1,0,0,0,1,0,1,0,0
20376,MariaDB;MySQL;SQLite,0,0,0,1,0,0,1,1,0,0,0,0,0,0
20377,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20378,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20379,Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20380,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20381,Microsoft SQL Server;SQLite,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20382,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20383,Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL,1,1,1,0,1,0,0,0,0,0,0,0,0,0
20384,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20385,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20387,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20388,Firebase,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20389,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20390,MongoDB;MySQL;Oracle;PostgreSQL;SQLite,0,0,1,1,1,0,1,0,0,1,0,0,0,0
20391,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20392,Firebase;MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,1,0,0,0,0,0
20393,Microsoft SQL Server;Oracle,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20394,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20395,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20396,MongoDB;Oracle;PostgreSQL,0,0,1,0,1,0,0,0,0,1,0,0,0,0
20397,DynamoDB;Elasticsearch;MySQL;Redis,1,0,0,1,0,1,0,0,0,0,0,1,0,0
20398,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,0,1,1,1,1,1,0,1,0,1,0,0,0,0
20399,MariaDB;MySQL;Oracle;PostgreSQL;Redis,0,0,1,1,1,1,0,1,0,0,0,0,0,0
20400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20401,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20402,DynamoDB;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,1,1,0,1,1,1,1,1,1,1,0,1,0,0
20403,MongoDB;PostgreSQL;Redis,0,0,0,0,1,1,0,0,0,1,0,0,0,0
20404,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20405,MongoDB;MySQL;Oracle;PostgreSQL,0,0,1,1,1,0,0,0,0,1,0,0,0,0
20406,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20407,Oracle;PostgreSQL;SQLite,0,0,1,0,1,0,1,0,0,0,0,0,0,0
20408,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20409,IBM DB2;Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,0,0,0,1,0,0,0
20410,MariaDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20411,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,0,1,1,0,1,0,1,0,0,0,0,0,0,0
20412,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20413,DynamoDB;Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,0,1,0,1,0,0,1,0,1,1,0,1,0,0
20414,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20415,Firebase;Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,1,0,0,0,0,0
20416,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20417,Firebase,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20418,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20419,Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20420,Microsoft SQL Server;Oracle,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20421,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20422,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20423,DynamoDB,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20424,MySQL;Oracle;SQLite,0,0,1,1,0,0,1,0,0,0,0,0,0,0
20425,Microsoft SQL Server;MySQL;Oracle;SQLite,0,1,1,1,0,0,1,0,0,0,0,0,0,0
20426,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL,0,1,0,1,0,0,0,1,1,1,0,0,0,0
20427,MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,0,0,0,0,0
20428,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20429,Elasticsearch;MySQL;PostgreSQL;Redis,1,0,0,1,1,1,0,0,0,0,0,0,0,0
20430,Firebase;MySQL;PostgreSQL,0,0,0,1,1,0,0,0,1,0,0,0,0,0
20431,MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,0,0,0,0,0
20432,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20433,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20434,MariaDB;Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,1,0,0,0,0,0,0
20435,MariaDB;MySQL;SQLite,0,0,0,1,0,0,1,1,0,0,0,0,0,0
20436,Cassandra;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,1,1,1,1,1,0,1,0,0,1,0,1,1,0
20437,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20438,DynamoDB;Elasticsearch;PostgreSQL;SQLite,1,0,0,0,1,0,1,0,0,0,0,1,0,0
20439,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20440,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20441,Cassandra;Elasticsearch;Oracle;PostgreSQL;Redis,1,0,1,0,1,1,0,0,0,0,0,0,1,0
20442,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20443,MongoDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,1,0,0,0,0
20444,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20445,Firebase;MySQL,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20446,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20447,Firebase;Microsoft SQL Server;MongoDB;SQLite,0,1,0,0,0,0,1,0,1,1,0,0,0,0
20448,DynamoDB;Firebase;MariaDB;MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,1,1,1,0,1,0,0
20449,Cassandra;Elasticsearch;Firebase;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,1,1,1,1,1,1,0,0,1,0,0,0,1,0
20450,IBM DB2;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,0,1,0,1,1,0,0,0,0,1,1,0,0,0
20451,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20452,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20453,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20454,MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,0,0,1,0,0,0,0
20455,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20456,Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20457,Microsoft SQL Server;PostgreSQL,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20458,Microsoft SQL Server;MySQL;Oracle;SQLite,0,1,1,1,0,0,1,0,0,0,0,0,0,0
20459,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20460,MySQL;Redis,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20461,DynamoDB,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20462,Elasticsearch;MariaDB;MySQL;Redis,1,0,0,1,0,1,0,1,0,0,0,0,0,0
20463,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20464,Elasticsearch;Microsoft SQL Server;SQLite,1,1,0,0,0,0,1,0,0,0,0,0,0,0
20465,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20466,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20467,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20468,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20469,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20470,Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,0,0,0,0,0,0
20471,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL,1,1,0,1,0,0,0,1,0,0,0,0,0,0
20472,DynamoDB;MariaDB;MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,1,0,1,0,1,0,0
20473,MariaDB;MongoDB;MySQL,0,0,0,1,0,0,0,1,0,1,0,0,0,0
20474,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20475,Firebase;MySQL;PostgreSQL,0,0,0,1,1,0,0,0,1,0,0,0,0,0
20476,MariaDB;MySQL;SQLite,0,0,0,1,0,0,1,1,0,0,0,0,0,0
20477,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20478,Microsoft SQL Server;MySQL;Oracle;SQLite,0,1,1,1,0,0,1,0,0,0,0,0,0,0
20479,Microsoft SQL Server;SQLite,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20480,Microsoft SQL Server;Oracle;PostgreSQL,0,1,1,0,1,0,0,0,0,0,0,0,0,0
20481,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20482,Microsoft SQL Server;SQLite,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20483,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20484,MariaDB;MySQL;SQLite,0,0,0,1,0,0,1,1,0,0,0,0,0,0
20485,Cassandra;MariaDB;MySQL;PostgreSQL;Redis;SQLite,0,0,0,1,1,1,1,1,0,0,0,0,1,0
20486,Microsoft SQL Server;MongoDB,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20487,Firebase;MySQL,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20488,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20489,Couchbase;Elasticsearch;MySQL,1,0,0,1,0,0,0,0,0,0,0,0,0,1
20490,Cassandra,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20491,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,0,0,0,1,1,1,1,1,0,1,0,0,0,0
20492,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20493,Elasticsearch;MySQL,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20494,IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,0,1,1,1,1,0,0,1,0,0,1,0,0,0
20495,Firebase;Microsoft SQL Server;MySQL;Redis,0,1,0,1,0,1,0,0,1,0,0,0,0,0
20496,Elasticsearch;MongoDB;Redis,1,0,0,0,0,1,0,0,0,1,0,0,0,0
20497,MySQL;Redis,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20498,Microsoft SQL Server;MySQL;PostgreSQL,0,1,0,1,1,0,0,0,0,0,0,0,0,0
20499,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20500,Elasticsearch;MySQL,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20501,MongoDB;PostgreSQL;Redis,0,0,0,0,1,1,0,0,0,1,0,0,0,0
20502,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20503,IBM DB2;Oracle,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20504,MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,0,0,0,0,0
20505,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20506,Firebase;Microsoft SQL Server;Oracle;SQLite,0,1,1,0,0,0,1,0,1,0,0,0,0,0
20507,Firebase;Microsoft SQL Server;MongoDB,0,1,0,0,0,0,0,0,1,1,0,0,0,0
20508,Microsoft SQL Server;MySQL;Oracle;SQLite,0,1,1,1,0,0,1,0,0,0,0,0,0,0
20509,MariaDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20510,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20511,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20512,Firebase;MariaDB;MySQL,0,0,0,1,0,0,0,1,1,0,0,0,0,0
20513,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,1,0,0,1,1,1,1,0,1,1,0,1,1,1
20514,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20515,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20516,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20517,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,0,1,0,1,1,0,0,0,0,1,0,0,0,0
20518,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20519,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20520,Microsoft SQL Server;PostgreSQL;Redis;SQLite,0,1,0,0,1,1,1,0,0,0,0,0,0,0
20521,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20522,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20523,MariaDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,1,0,0,0,0,0,0
20524,MySQL;Oracle;SQLite,0,0,1,1,0,0,1,0,0,0,0,0,0,0
20525,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20526,MariaDB;Microsoft SQL Server;MySQL;Oracle;Redis,0,1,1,1,0,1,0,1,0,0,0,0,0,0
20527,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20528,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,0,0,0,1,1,1,0,1,0,1,0,0,0,0
20529,MariaDB;MongoDB,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20530,DynamoDB;Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL,1,0,1,1,1,0,0,0,0,1,0,1,0,0
20531,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,0,1,0,1,1,0,1,1,1,1,0,0,0,0
20532,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20533,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20534,IBM DB2;Microsoft SQL Server;PostgreSQL;SQLite,0,1,0,0,1,0,1,0,0,0,1,0,0,0
20535,Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,0,1,1,1,0,0,1,0,1,1,0,0,0,0
20536,DynamoDB;Firebase;MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,0,1,1,0,1,0,0
20537,Firebase;Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,1,0,0,0,0,0
20538,Microsoft SQL Server;MySQL;PostgreSQL;Redis,0,1,0,1,1,1,0,0,0,0,0,0,0,0
20539,Firebase;MongoDB;PostgreSQL,0,0,0,0,1,0,0,0,1,1,0,0,0,0
20540,MariaDB;MySQL;PostgreSQL;Redis;SQLite,0,0,0,1,1,1,1,1,0,0,0,0,0,0
20541,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20542,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20543,Couchbase;Firebase;MongoDB;PostgreSQL;SQLite,0,0,0,0,1,0,1,0,1,1,0,0,0,1
20544,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20545,DynamoDB;Firebase;MariaDB;MongoDB;PostgreSQL,0,0,0,0,1,0,0,1,1,1,0,1,0,0
20546,Firebase;MySQL,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20547,DynamoDB;MongoDB;MySQL;PostgreSQL;Redis,0,0,0,1,1,1,0,0,0,1,0,1,0,0
20548,MySQL;Redis,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20549,Microsoft SQL Server;MongoDB;MySQL,0,1,0,1,0,0,0,0,0,1,0,0,0,0
20550,Firebase;IBM DB2;MySQL;Oracle;SQLite,0,0,1,1,0,0,1,0,1,0,1,0,0,0
20551,Firebase;MongoDB;MySQL;Oracle;PostgreSQL,0,0,1,1,1,0,0,0,1,1,0,0,0,0
20552,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20553,Firebase;MySQL,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20554,Firebase;MariaDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,1,1,0,0,0,0,0
20555,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20556,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20557,Microsoft SQL Server;Oracle,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20558,Cassandra,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20559,Elasticsearch;PostgreSQL,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20560,IBM DB2;MySQL;Oracle;PostgreSQL,0,0,1,1,1,0,0,0,0,0,1,0,0,0
20561,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,0,1,0,1,1,0,1,1,1,1,0,0,0,0
20562,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20563,Elasticsearch;MongoDB;PostgreSQL,1,0,0,0,1,0,0,0,0,1,0,0,0,0
20564,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20565,DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,1,1,1,1,1,1,1,0,0,1,0,1,0,0
20566,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20567,Microsoft SQL Server;MongoDB;PostgreSQL,0,1,0,0,1,0,0,0,0,1,0,0,0,0
20568,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20569,Elasticsearch;Microsoft SQL Server,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20570,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20571,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,0,1,1,1,1,0,1,1,0,0,0,0,0,0
20572,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20573,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20574,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20575,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20576,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20577,Microsoft SQL Server;PostgreSQL;SQLite,0,1,0,0,1,0,1,0,0,0,0,0,0,0
20578,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20579,MongoDB;MySQL;Oracle;PostgreSQL;Redis,0,0,1,1,1,1,0,0,0,1,0,0,0,0
20580,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20581,MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,0,1,1,1,0,0,1,1,0,0,0,0,0,0
20582,Microsoft SQL Server;Oracle;PostgreSQL;Redis,0,1,1,0,1,1,0,0,0,0,0,0,0,0
20583,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20584,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20585,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20586,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20587,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20588,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20589,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,0,1,1,1,1,0,1,0,0,1,0,0,0,0
20590,Microsoft SQL Server;MongoDB;MySQL,0,1,0,1,0,0,0,0,0,1,0,0,0,0
20591,MongoDB;PostgreSQL,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20592,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20593,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20594,Couchbase;Microsoft SQL Server;Redis;SQLite,0,1,0,0,0,1,1,0,0,0,0,0,0,1
20595,Firebase;MariaDB;MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,1,1,1,0,0,0,0
20596,MySQL;Oracle;SQLite,0,0,1,1,0,0,1,0,0,0,0,0,0,0
20597,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20598,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20599,Oracle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20600,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20601,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20602,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20603,MariaDB;Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,1,0,0,0,0,0,0
20604,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20605,Microsoft SQL Server;SQLite,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20606,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20607,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
